,municipality,impact_type,state,rate,value
175,Mandaluyong,Building Damage,Slight Damage,total,1199782.0
176,Marikina,Building Damage,Slight Damage,total,1214505.0
177,Muntinlupa,Building Damage,Slight Damage,total,1736660.0
178,Navotas,Building Damage,Slight Damage,total,394736.0
179,Paranaque,Building Damage,Slight Damage,total,2897909.0
180,Pasay,Building Damage,Slight Damage,total,1096852.0
181,Pasig,Building Damage,Slight Damage,total,2213476.0
182,Pateros,Building Damage,Slight Damage,total,83141.0
183,Quezon,Building Damage,Slight Damage,total,11049945.0
184,San Juan,Building Damage,Slight Damage,total,699746.0
185,Taguig,Building Damage,Slight Damage,total,2014723.0
186,Valenzuela,Building Damage,Slight Damage,total,3321678.0
187,Caloocan,Building Damage,Moderate Damage,total,5232422.0
188,Manila,Building Damage,Moderate Damage,total,8103927.0
189,Las Pinas,Building Damage,Moderate Damage,total,3036596.0
190,Makati,Building Damage,Moderate Damage,total,4291520.0
191,Malabon,Building Damage,Moderate Damage,total,1670251.0
192,Mandaluyong,Building Damage,Moderate Damage,total,2063208.0
193,Marikina,Building Damage,Moderate Damage,total,2396756.0
194,Muntinlupa,Building Damage,Moderate Damage,total,3020253.0
195,Navotas,Building Damage,Moderate Damage,total,707097.0
196,Paranaque,Building Damage,Moderate Damage,total,4893277.0
197,Pasay,Building Damage,Moderate Damage,total,2129076.0
198,Pasig,Building Damage,Moderate Damage,total,4156819.0
199,Pateros,Building Damage,Moderate Damage,total,167761.0
200,Quezon,Building Damage,Moderate Damage,total,17663877.0
201,San Juan,Building Damage,Moderate Damage,total,1156132.0
202,Taguig,Building Damage,Moderate Damage,total,3373491.0
203,Valenzuela,Building Damage,Moderate Damage,total,4786840.0
204,Caloocan,Building Damage,Extensive Damage,total,4087406.0
205,Manila,Building Damage,Extensive Damage,total,9825526.0
206,Las Pinas,Building Damage,Extensive Damage,total,2420619.0
207,Makati,Building Damage,Extensive Damage,total,4261247.0
208,Malabon,Building Damage,Extensive Damage,total,1477221.0
209,Mandaluyong,Building Damage,Extensive Damage,total,1912450.0
210,Marikina,Building Damage,Extensive Damage,total,2707179.0
211,Muntinlupa,Building Damage,Extensive Damage,total,2877665.0
212,Navotas,Building Damage,Extensive Damage,total,709673.0
213,Paranaque,Building Damage,Extensive Damage,total,4307947.0
214,Pasay,Building Damage,Extensive Damage,total,2479783.0
215,Pasig,Building Damage,Extensive Damage,total,4708861.0
216,Pateros,Building Damage,Extensive Damage,total,222650.0
